 #  Total cross section table (last run of 'elscata').
 #
 #  Z =   2,   projectile: positron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.50000E+08  1.64696E-20  4.14703E-28  1.23191E-27  0.00000E+00  9.4E-04
   1.75000E+08  1.64693E-20  3.06037E-28  9.10997E-28  0.00000E+00  1.1E-03
   2.00000E+08  1.64664E-20  2.35016E-28  7.00671E-28  0.00000E+00  1.3E-03
   2.50000E+08  1.64598E-20  1.50968E-28  4.51009E-28  0.00000E+00  1.6E-03
   3.00000E+08  1.64537E-20  1.05064E-28  3.14251E-28  0.00000E+00  1.9E-03
   3.50000E+08  1.64512E-20  7.72948E-29  2.31368E-28  0.00000E+00  5.4E-03
   4.00000E+08  1.64534E-20  5.92358E-29  1.77402E-28  0.00000E+00  9.0E-03
   4.50000E+08  1.64529E-20  4.68364E-29  1.40317E-28  0.00000E+00  8.6E-03
   5.00000E+08  1.64565E-20  3.79588E-29  1.13750E-28  0.00000E+00  1.0E+00
   6.00000E+08  1.64613E-20  2.63821E-29  7.90847E-29  0.00000E+00  1.0E+00
   7.00000E+08  1.64642E-20  1.93950E-29  5.81515E-29  0.00000E+00  1.0E+00
   8.00000E+08  1.64606E-20  1.48561E-29  4.45487E-29  0.00000E+00  1.0E+00
   9.00000E+08  1.64616E-20  1.17439E-29  3.52195E-29  0.00000E+00  1.0E+00
   1.00000E+09  1.64566E-20  9.51647E-30  2.85413E-29  0.00000E+00  1.0E+00
