 #  Total cross section table (last run of 'elscata').
 #
 #  Z =  19,   projectile: positron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   7.00000E+07  1.51356E-18  1.48161E-25  4.36673E-25  0.00000E+00  1.0E-05
   8.00000E+07  1.51375E-18  1.14562E-25  3.38418E-25  0.00000E+00  1.0E-05
   9.00000E+07  1.51379E-18  9.11841E-26  2.69912E-25  0.00000E+00  1.0E-05
   1.00000E+08  1.51374E-18  7.42679E-26  2.20234E-25  0.00000E+00  1.0E-05
   1.25000E+08  1.51382E-18  4.79601E-26  1.42711E-25  0.00000E+00  1.1E-05
   1.50000E+08  1.51353E-18  3.34799E-26  9.98472E-26  0.00000E+00  1.3E-05
   1.75000E+08  1.51329E-18  2.46808E-26  7.37135E-26  0.00000E+00  1.5E-05
   2.00000E+08  1.51325E-18  1.89414E-26  5.66282E-26  0.00000E+00  1.7E-05
   2.50000E+08  1.51252E-18  1.21602E-26  3.63986E-26  0.00000E+00  2.2E-05
   3.00000E+08  1.51174E-18  8.46079E-27  2.53425E-26  0.00000E+00  3.0E-04
   3.50000E+08  1.51101E-18  6.22416E-27  1.86509E-26  0.00000E+00  4.3E-04
   4.00000E+08  1.51021E-18  4.76987E-27  1.42969E-26  0.00000E+00  6.1E-04
   4.50000E+08  1.50901E-18  3.77149E-27  1.13065E-26  0.00000E+00  8.3E-04
   5.00000E+08  1.50750E-18  3.05666E-27  9.16475E-27  0.00000E+00  1.0E+00
   6.00000E+08  1.50302E-18  2.12459E-27  6.37124E-27  0.00000E+00  1.0E+00
   7.00000E+08  1.49601E-18  1.56201E-27  4.68466E-27  0.00000E+00  1.0E+00
   8.00000E+08  1.48655E-18  1.19660E-27  3.58900E-27  0.00000E+00  1.0E+00
   9.00000E+08  1.47457E-18  9.45936E-28  2.83731E-27  0.00000E+00  1.0E+00
   1.00000E+09  1.46028E-18  7.66545E-28  2.29931E-27  0.00000E+00  1.0E+00
