 #  Total cross section table (last run of 'elscata').
 #
 #  Z =  71,   projectile: electron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   2.00000E+08  7.18467E-18  2.40083E-25  7.18634E-25  0.00000E+00  1.0E-05
   2.50000E+08  7.18465E-18  1.53592E-25  4.60101E-25  0.00000E+00  3.5E-05
   3.00000E+08  7.18346E-18  1.06618E-25  3.19525E-25  0.00000E+00  1.0E-04
   3.50000E+08  7.18117E-18  7.82999E-26  2.34720E-25  0.00000E+00  9.3E-05
   4.00000E+08  7.17870E-18  5.99271E-26  1.79675E-25  0.00000E+00  9.3E-05
   4.50000E+08  7.17830E-18  4.73335E-26  1.41934E-25  0.00000E+00  1.0E+00
   5.00000E+08  7.17156E-18  3.83280E-26  1.14940E-25  0.00000E+00  1.0E+00
   6.00000E+08  7.16561E-18  2.66018E-26  7.97842E-26  0.00000E+00  1.0E+00
   7.00000E+08  7.15970E-18  1.95351E-26  5.85939E-26  0.00000E+00  1.0E+00
   8.00000E+08  7.14535E-18  1.49501E-26  4.48435E-26  0.00000E+00  1.0E+00
   9.00000E+08  7.12708E-18  1.18083E-26  3.54206E-26  0.00000E+00  1.0E+00
   1.00000E+09  7.10494E-18  9.56227E-27  2.86840E-26  0.00000E+00  1.0E+00
