 #  Total cross section table (last run of 'elscata').
 #
 #  Z =   1,   projectile: electron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.25000E+08  1.08436E-20  1.57542E-28  4.66259E-28  0.00000E+00  6.2E-03
   1.50000E+08  1.08354E-20  1.10227E-28  3.27098E-28  0.00000E+00  7.4E-03
   1.75000E+08  1.08359E-20  8.13796E-29  2.42000E-28  0.00000E+00  8.6E-03
   2.00000E+08  1.08345E-20  6.25130E-29  1.86198E-28  0.00000E+00  9.9E-03
   2.50000E+08  1.08326E-20  4.01711E-29  1.19919E-28  0.00000E+00  1.0E+00
   3.00000E+08  1.08328E-20  2.79626E-29  8.35892E-29  0.00000E+00  1.0E+00
   3.50000E+08  1.08364E-20  2.05755E-29  6.15612E-29  0.00000E+00  1.0E+00
   4.00000E+08  1.08406E-20  1.57705E-29  4.72131E-29  0.00000E+00  1.0E+00
   4.50000E+08  1.08397E-20  1.24700E-29  3.73479E-29  0.00000E+00  1.0E+00
   5.00000E+08  1.08412E-20  1.01074E-29  3.02813E-29  0.00000E+00  1.0E+00
   6.00000E+08  1.08416E-20  7.02632E-30  2.10590E-29  0.00000E+00  1.0E+00
   7.00000E+08  1.08334E-20  5.16586E-30  1.54867E-29  0.00000E+00  1.0E+00
   8.00000E+08  1.08204E-20  3.95736E-30  1.18657E-29  0.00000E+00  1.0E+00
   9.00000E+08  1.08019E-20  3.12831E-30  9.38094E-30  0.00000E+00  1.0E+00
   1.00000E+09  1.07774E-20  2.53502E-30  7.60244E-30  0.00000E+00  1.0E+00
