  time needed for indexing=  2.3009777E-03  sec
 CHDx       SCIN    
 1 num=         100          24
 Shape=           2         124
 Odd part contains          24  CHD's,
 they are located at the last part
  Nlayer=           2  NCHDx=         124
F CHD #   56 in layer    2 has  comp#=   244
F CHD #   57 in layer    2 has  comp#=   246
F CHD #   58 in layer    2 has  comp#=   247
F CHD #   59 in layer    2 has  comp#=   248
F CHD #   60 in layer    2 has  comp#=   249
F CHD #   61 in layer    2 has  comp#=   253
F CHD #   62 in layer    2 has  comp#=   254
F CHD #   63 in layer    2 has  comp#=   255
F CHD #   64 in layer    2 has  comp#=   256
F CHD #   65 in layer    2 has  comp#=   258
F CHD #   66 in layer    2 has  comp#=   259
F CHD #   67 in layer    2 has  comp#=   260
F CHD #   68 in layer    2 has  comp#=   261
F CHD #   69 in layer    2 has  comp#=   263
F CHD #   70 in layer    2 has  comp#=   264
F CHD #   71 in layer    2 has  comp#=   265
F CHD #   72 in layer    2 has  comp#=   266
F CHD #   73 in layer    2 has  comp#=   268
F CHD #   74 in layer    2 has  comp#=   269
F CHD #   75 in layer    2 has  comp#=   270
F CHD #   76 in layer    2 has  comp#=   271
F CHD #   77 in layer    2 has  comp#=   273
F CHD #   78 in layer    2 has  comp#=   274
F CHD #   79 in layer    2 has  comp#=   275
F CHD #   80 in layer    2 has  comp#=   276
F CHD #   81 in layer    2 has  comp#=   280
F CHD #   82 in layer    2 has  comp#=   281
F CHD #   83 in layer    2 has  comp#=   282
F CHD #   84 in layer    2 has  comp#=   283
F CHD #   85 in layer    2 has  comp#=   285
F CHD #   86 in layer    2 has  comp#=   286
F CHD #   87 in layer    2 has  comp#=   287
F CHD #   88 in layer    2 has  comp#=   288
F CHD #   89 in layer    2 has  comp#=   290
F CHD #   90 in layer    2 has  comp#=   291
F CHD #   91 in layer    2 has  comp#=   292
F CHD #   92 in layer    2 has  comp#=   293
F CHD #   93 in layer    2 has  comp#=   295
F CHD #   94 in layer    2 has  comp#=   296
F CHD #   95 in layer    2 has  comp#=   297
F CHD #   96 in layer    2 has  comp#=   298
F CHD #   97 in layer    2 has  comp#=   300
F CHD #   98 in layer    2 has  comp#=   301
F CHD #   99 in layer    2 has  comp#=   302
F CHD #  100 in layer    2 has  comp#=   303
F CHD #  101 in layer    2 has  comp#=   309
F CHD #  102 in layer    2 has  comp#=   310
F CHD #  103 in layer    2 has  comp#=   311
F CHD #  104 in layer    2 has  comp#=   312
F CHD #  105 in layer    2 has  comp#=   314
F CHD #  106 in layer    2 has  comp#=   315
F CHD #  107 in layer    2 has  comp#=   316
F CHD #  108 in layer    2 has  comp#=   317
F CHD #  109 in layer    2 has  comp#=   319
F CHD #  110 in layer    2 has  comp#=   320
F CHD #  111 in layer    2 has  comp#=   321
F CHD #  112 in layer    2 has  comp#=   322
F CHD #  113 in layer    2 has  comp#=   325
F CHD #  114 in layer    2 has  comp#=   326
F CHD #  115 in layer    2 has  comp#=   327
F CHD #  116 in layer    2 has  comp#=   328
F CHD #  117 in layer    2 has  comp#=   330
F CHD #  118 in layer    2 has  comp#=   331
F CHD #  119 in layer    2 has  comp#=   332
F CHD #  120 in layer    2 has  comp#=   333
F CHD #  121 in layer    2 has  comp#=   335
F CHD #  122 in layer    2 has  comp#=   336
F CHD #  123 in layer    2 has  comp#=   337
F CHD #  124 in layer    2 has  comp#=   338

